program_name,faculty_name,core_subjects,min_gpa_regular,min_gpa_parallel,unemployment_rate,expected_salary,future_jobs,description,model_label
Biology and Biotechnology,Science,"['Biology', 'Chemistry']",65,65,45,2800,"Biological research, pharmaceutical industry, medical laboratories",Study of biological sciences and biotechnology.,
Mathematics,Science,['Mathematics'],65,65,40,3000,"Teaching, data analysis, banking",Study of theoretical and applied mathematics.,
Mathematics and Data Science,Science,['Mathematics'],65,65,35,3500,"Data science, AI, technology companies",Integration of mathematics with data analysis.,
Physics,Science,"['Physics', 'Mathematics']",65,65,42,3200,"Physics research, energy industry",Study of the laws of nature and energy.,
Applied Physics Technology,Science,"['Physics', 'Mathematics']",65,65,40,3300,"Technology development, engineering",Application of physics in technology.,
Chemistry,Science,['Chemistry'],65,65,45,2900,"Chemical industry, laboratories",Study of materials and chemical reactions.,
Applied Chemistry,Science,['Chemistry'],65,65,42,3100,"Industry, research",Application of chemistry in industry.,
Molecular Diagnostics Technology,Science,"['Biology', 'Chemistry']",65,65,40,3400,Diagnostic laboratories,Molecular diagnostics techniques.,
Arabic Language and Literature,Humanities and Education,['Arabic'],65,65,50,2200,"Teaching, writing, media",Study of Arabic language and literature.,
English Language and Literature,Humanities and Education,['English'],65,65,48,2400,"Translation, teaching, international business",Study of English language and literature.,
French Language,Humanities and Education,['English'],65,65,50,2300,"Diplomacy, translation",Study of the French language.,
History,Humanities and Education,['History'],65,65,55,2100,"History teaching, research",Study of history.,
Geography,Humanities and Education,['Geography'],65,65,52,2300,"Geography, GIS",Study of geography.,
Tourism and Archaeology,Humanities and Education,[],65,65,45,2500,"Tourism, archaeology",Management of tourism and archaeology.,
Psychology – Psychological Counseling,Humanities and Education,[],65,65,50,2400,Psychological counseling,Psychology with counseling.,
Social Work,Humanities and Education,[],65,65,48,2100,Social work,Social work.,
Physical Education,Humanities and Education,[],65,65,50,2200,Sports coaching,Physical education.,
Kindergarten,Humanities and Education,[],65,65,48,2000,Kindergarten teaching,Kindergarten education.,
Elementary School Teacher,Humanities and Education,[],65,65,50,2100,Elementary teaching,Training elementary school teachers.,
Jurisprudence and Legislation,Sharia,['Islamic Education'],65,65,40,2500,"Sharia judiciary, teaching",Study of Islamic jurisprudence.,
